timestamp,original,translated
2025-05-06 20:20:46.877466,You've obviously been in technology a long time at the heart of it really what would you say the most impactful technology of all time was I think Especially what we're seeing in the last,기술 분야에서 오랜 시간을 보내셨군요. 정말 핵심에 있으셨겠네요. 모든 시대를 통틀어 가장 큰 영향을 끼친 기술은 무엇이라고 생각하시나요? 최근에 보이는 것들 중 특히요.
2025-05-06 20:20:54.733119,couple of years has proven to me that the most important technology of all time is the written word.,"수 년 동안 증명된 바에 따르면, 가장 중요한 기술은 모든 시대를 통틀어 쓰인 글자 그대로입니다."
2025-05-06 20:21:00.818446,"including large language models stems from that. Now, you know, some people would say the spoken word was important and yes, you know,","그런 점에서 대형 언어 모델을 포함하는 것이죠. 아시다시피, 일부 사람들은 구어체가 중요하다고 말하기도 합니다. 그렇죠,"
2025-05-06 20:21:07.348919,you can have tribes and you can have a small bit of culture that's passed on that way. But in order to make progress and have future generations really,"당신은 부족을 가질 수 있고, 그렇게 전해지는 작은 문화 요소도 가질 수 있습니다. 하지만 진보를 이루고 미래 세대가 정말

(번역 종료)"
2025-05-06 20:21:13.390265,"build on the past, you need the written word. There's a lot of talk about what AI is going to do for disrupting industries and, you know, any number of","과거의 기반 위에 서면 언어가 필요합니다. 많은 사람들이 AI가 산업을 어떻게 혁신할지에 대해 이야기하고 있으며, 그 영향은 무궁무진합니다."
2025-05-06 20:21:22.148025,"predictions about the future. We're going to talk about some today, but just an impersonal note, what would you like to see AI automate for you in your future? I want to automate","미래에 대한 예측들에 대해 이야기해 볼게요. 오늘 몇 가지를 다루겠지만, 잠시 기계적인 관점에서, 당신의 미래에서 AI가 자동화해 주길 바라는 것은 무엇인가요? 저는 자동화하고 싶습니다."
2025-05-06 20:21:30.798145,the hours that we waste doing things that we don't like to do. So I want to free up our time to allow us to enjoy life more so that we can be...,"우리가 좋아하지 않는 일들을 하느라 낭비하는 시간들을 말합니다. 그래서 시간을 확보하여 삶을 더 즐길 수 있게 하고, 그렇게 함으로써 우리가 될 수 있는..."
2025-05-06 20:21:40.142080,"kinder and more helpful to others. Last but not least, you've obviously worked a lot with data in your past. I'm sure you've seen budding,","더 친절하고 타인을 돕기에 유용했습니다. 마지막으로, 과거에 데이터 작업을 많이 하셨다는 것을 분명히 알 수 있습니다. 분명히 데이터를 통해 성장하는 모습을 목격하셨을 것입니다."
2025-05-06 20:21:49.276227,"graduates into the workforce and have all sorts of thoughts about what they were going to do. And you've had to stop them and say, hey guys, when you start working with data, I've learned a couple of little things.",졸업 후 직장에 나가면 다양한 생각들이 들죠. 데이터로 일을 시작할 때 몇 가지 유용한 것들을 배웠거든요. 잠깐 멈춰 서서 말씀드릴게요.
2025-05-06 20:29:50.566218,I think that's definitely true. And so you're right that a lot of what we were trying to do back then really wasn't practical because we didn't have the computing power.,확실히 맞는 말이라고 생각해요. 그때 우리가 하려고 했던 많은 것들이 실제로는 실용적이지 않았던 것 같아요. 왜냐하면 당시에는 컴퓨팅 능력이 부족했으니까요.
2025-05-06 20:29:56.378542,to do it and we tried to kind of ignore that and push ahead anyways. And I remember the day and it was probably 1981.,"그것을 해내려고 노력했고, 그 부분을 조금 무시하고 어쨌든 계속 진행했습니다. 기억이 나는데, 아마 1981년이었을 거예요."
2025-05-06 20:30:02.197693,"when Isaac Radd student at Berkeley, Jeff Hinton came and talked about his latest research in neural nets. And, you know, we've been doing this","아이작 레이던 대학 재학 시절, 제프 힌튼이 방문하여 최신 신경망 연구에 대해 강연했었습니다. 그리고 그 이후로 이런 활동을 계속해 왔습니다."
2025-05-06 20:30:12.079249,"good old-fashioned AI sort of expert system like, and we said, oh, this sounds great. Let's go back into the lab and build it. And of course, you know, there's","전통적인 방식의 AI, 일종의 전문가 시스템 같은 것이고, 우리는 ""와, 이건 멋지겠네!""라고 생각했어요. 다시 연구실로 돌아가서 만들어 보자고 했죠. 물론, 아시겠지만..."
